date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-12-01,2018-19,Apertura - Liguilla,Quarterfinals,True,Cruz Azul,Gallos Blancos,1.0,1.0,1.0,0.0,footballcsv,Cruz Azul,Querétaro
2018-12-01,2018-19,Apertura - Liguilla,Quarterfinals,True,Santos Laguna,CF Monterrey,0.0,2.0,0.0,0.0,footballcsv,Santos Laguna,Monterrey
2018-12-02,2018-19,Apertura - Liguilla,Quarterfinals,True,Pumas UNAM,UANL Tigres,3.0,1.0,0.0,0.0,footballcsv,Pumas UNAM,Tigres UANL
2018-12-02,2018-19,Apertura - Liguilla,Quarterfinals,True,CF América,Deportivo Toluca,3.0,2.0,2.0,0.0,footballcsv,América,Toluca
2018-12-05,2018-19,Apertura - Liguilla,Semifinals,True,CF Monterrey,Cruz Azul,1.0,0.0,1.0,0.0,footballcsv,Monterrey,Cruz Azul
2018-12-06,2018-19,Apertura - Liguilla,Semifinals,True,Pumas UNAM,CF América,1.0,1.0,0.0,1.0,footballcsv,Pumas UNAM,América
2018-12-08,2018-19,Apertura - Liguilla,Semifinals,True,Cruz Azul,CF Monterrey,1.0,0.0,0.0,0.0,footballcsv,Cruz Azul,Monterrey
2018-12-09,2018-19,Apertura - Liguilla,Semifinals,True,CF América,Pumas UNAM,6.0,1.0,3.0,1.0,footballcsv,América,Pumas UNAM
2018-12-13,2018-19,Apertura - Liguilla,Final,True,CF América,Cruz Azul,0.0,0.0,0.0,0.0,footballcsv,América,Cruz Azul
2018-12-16,2018-19,Apertura - Liguilla,Final,True,Cruz Azul,CF América,0.0,2.0,0.0,0.0,footballcsv,Cruz Azul,América
2019-01-04,2018-19,Clausura,1,False,Monarcas Morelia,Deportivo Toluca,1.0,3.0,1.0,2.0,footballcsv,Monarcas Morelia,Toluca
2019-01-04,2018-19,Clausura,1,False,Puebla FC,Cruz Azul,1.0,1.0,1.0,1.0,footballcsv,Puebla,Cruz Azul
2019-01-05,2018-19,Clausura,1,False,CF Monterrey,CF Pachuca,5.0,0.0,1.0,0.0,footballcsv,Monterrey,Pachuca
2019-01-05,2018-19,Clausura,1,False,Club León,UANL Tigres,2.0,2.0,1.0,1.0,footballcsv,León,Tigres UANL
2019-01-05,2018-19,Clausura,1,False,Deportivo Guadalajara,Club Tijuana,2.0,0.0,0.0,0.0,footballcsv,Guadalajara,Tijuana
2019-01-05,2018-19,Clausura,1,False,Gallos Blancos,Atlas Guadalajara,1.0,2.0,1.0,1.0,footballcsv,Querétaro,Atlas
2019-01-06,2018-19,Clausura,1,False,Pumas UNAM,CD Veracruz,0.0,0.0,0.0,0.0,footballcsv,Pumas UNAM,Veracruz
2019-01-06,2018-19,Clausura,1,False,Lobos BUAP,Santos Laguna,2.0,0.0,0.0,0.0,footballcsv,Lobos BUAP,Santos Laguna
2019-01-11,2018-19,Clausura,2,False,Atlas Guadalajara,CF América,1.0,2.0,0.0,0.0,footballcsv,Atlas,América
2019-01-11,2018-19,Clausura,2,False,CD Veracruz,Lobos BUAP,0.0,1.0,0.0,0.0,footballcsv,Veracruz,Lobos BUAP
2019-01-12,2018-19,Clausura,2,False,Club Tijuana,UANL Tigres,0.0,3.0,0.0,0.0,footballcsv,Tijuana,Tigres UANL
2019-01-12,2018-19,Clausura,2,False,CF Monterrey,Club León,2.0,2.0,0.0,0.0,footballcsv,Monterrey,León
2019-01-12,2018-19,Clausura,2,False,Cruz Azul,Deportivo Guadalajara,0.0,1.0,0.0,0.0,footballcsv,Cruz Azul,Guadalajara
2019-01-12,2018-19,Clausura,2,False,CF Pachuca,Gallos Blancos,3.0,0.0,0.0,0.0,footballcsv,Pachuca,Querétaro
2019-01-12,2018-19,Clausura,2,False,Club Necaxa,Pumas UNAM,2.0,1.0,1.0,0.0,footballcsv,Necaxa,Pumas UNAM
2019-01-13,2018-19,Clausura,2,False,Deportivo Toluca,Puebla FC,2.0,0.0,1.0,0.0,footballcsv,Toluca,Puebla
2019-01-13,2018-19,Clausura,2,False,Santos Laguna,Monarcas Morelia,1.0,0.0,0.0,0.0,footballcsv,Santos Laguna,Monarcas Morelia
2019-01-18,2018-19,Clausura,3,False,Puebla FC,Santos Laguna,1.0,1.0,1.0,1.0,footballcsv,Puebla,Santos Laguna
